Latitude,Longitude,Date
55.70660714,37.56347745,2018-09-06 15:13:58.582317
55.70623938,37.55803299,2018-09-06 15:14:30.944229
55.70538666,37.55300718,2018-09-06 15:16:37.745713
55.70272771,37.54952965,2018-09-06 15:17:03.074257
55.7050323,37.55216351,2018-09-06 15:17:45.608465
55.7073931,37.55536685,2018-09-06 15:18:06.510434
55.70994539,37.55885574,2018-09-06 15:18:23.336182
55.71237949,37.5621602,2018-09-06 15:18:45.717589
55.71507682,37.56582591,2018-09-06 15:19:12.049529
55.71730032,37.57120654,2018-09-06 15:19:47.582464
55.71595557,37.57586212,2018-09-06 15:20:18.585786
55.71354398,37.57344349,2018-09-06 15:21:49.743356
55.71310931,37.56832719,2018-09-06 15:23:32.727885
55.71282985,37.57065495,2018-09-06 15:28:51.975787
55.71309891,37.57150303,2018-09-06 15:29:54.118442
55.71379608,37.5722398,2018-09-06 15:38:50.916605
55.71380615,37.57226347,2018-09-06 15:41:13.649034
55.71379584,37.57230673,2018-09-06 16:41:08.961683
55.71330347,37.57265721,2018-09-06 19:19:27.802329
55.71330347,37.57265721,2018-09-06 19:19:36.334001
55.71304309,37.56850868,2018-09-06 19:19:42.877960
55.71516846,37.56633105,2018-09-06 19:19:51.502721
55.71544122,37.56683763,2018-09-06 19:19:53.002768
55.7166907,37.57131215,2018-09-06 19:21:16.222907
55.71543839,37.57480003,2018-09-06 19:23:42.848741
55.71252666,37.57896062,2018-09-06 19:25:00.042242
55.70782861,37.57801449,2018-09-06 19:29:25.187560
55.70782861,37.57801449,2018-09-06 19:29:25.359831
55.70314563,37.57970585,2018-09-06 19:30:37.577673
55.70040039,37.5788949,2018-09-06 19:31:51.551075
55.69706159,37.57752481,2018-09-06 19:32:29.041834
55.6938483,37.57639696,2018-09-06 19:32:59.493341
55.69076367,37.57529601,2018-09-06 19:33:31.518362
55.68822518,37.57420051,2018-09-06 19:34:48.888705
55.6863516,37.57208896,2018-09-06 19:35:38.012873
55.68384322,37.56924882,2018-09-06 19:35:59.236463
55.68134219,37.56633779,2018-09-06 19:36:26.777974
55.67888359,37.56364811,2018-09-06 19:37:32.496041
55.67619807,37.56087926,2018-09-06 19:37:59.267269
55.67377084,37.55822705,2018-09-06 19:38:51.702106
55.67125839,37.55548327,2018-09-06 19:42:21.372831
55.66866017,37.55279949,2018-09-06 19:43:00.519644
55.66625916,37.55013974,2018-09-06 19:46:18.687126
55.66381345,37.54755984,2018-09-06 19:48:43.683099
55.66105938,37.54460918,2018-09-06 19:49:12.418951
55.65942724,37.54285954,2018-09-06 19:49:26.654732
55.65699048,37.54022978,2018-09-06 19:49:55.135350
55.65430361,37.53734286,2018-09-06 19:51:59.646230
55.65188785,37.53475942,2018-09-06 19:52:32.112210
55.64928747,37.53200973,2018-09-06 19:54:32.702549
55.64695208,37.52953204,2018-09-06 19:54:59.892349
55.64390424,37.52705759,2018-09-06 19:55:27.675143
55.64144033,37.53036151,2018-09-06 19:57:53.339572
55.63991655,37.53605152,2018-09-06 19:58:25.091446
55.63916559,37.53786635,2018-09-06 20:07:09.339646
55.63923043,37.53777017,2018-09-06 21:03:21.005175
55.63912352,37.53784251,2018-09-06 21:31:57.434471
55.6391686,37.53783669,2018-09-06 23:38:07.213903
55.6391686,37.53783669,2018-09-07 08:36:16.530844
55.64273231,37.54129017,2018-09-07 08:36:17.421547
55.64540073,37.54373864,2018-09-07 08:37:26.790957
55.64772872,37.54712688,2018-09-07 08:38:40.693649
55.65007871,37.5503901,2018-09-07 08:39:18.061818
55.65274578,37.55258426,2018-09-07 08:41:06.505264
55.65485779,37.55657039,2018-09-07 08:41:46.757009
55.6573691,37.55380787,2018-09-07 08:42:16.623205
55.65773377,37.54891431,2018-09-07 08:42:55.614593
55.65977875,37.55241686,2018-09-07 08:44:13.278451
55.66135496,37.55732909,2018-09-07 08:45:15.620414
55.66295728,37.55289753,2018-09-07 08:45:57.555765
55.6646033,37.54868606,2018-09-07 08:48:05.107625
55.66981827,37.55432864,2018-09-07 08:49:39.693217
55.67255233,37.55717513,2018-09-07 08:50:07.707709
55.67535752,37.56027051,2018-09-07 08:50:48.580576
55.67801665,37.5632371,2018-09-07 08:51:55.612794
55.6809161,37.56632606,2018-09-07 08:52:21.665737
55.68347251,37.56908267,2018-09-07 08:52:52.322750
55.6861501,37.57198028,2018-09-07 08:54:05.460977
55.68862925,37.57461185,2018-09-07 08:55:13.963204
55.69143415,37.57576441,2018-09-07 08:55:41.734037
55.69467564,37.57692043,2018-09-07 08:57:36.430366
55.6975127,37.57790334,2018-09-07 09:00:01.724522
55.70026893,37.57888202,2018-09-07 09:01:15.074111
55.703658,37.58009659,2018-09-07 09:02:36.574125
55.70702104,37.58130444,2018-09-07 09:03:16.290737
55.70829192,37.58567245,2018-09-07 09:06:15.926561
55.71278861,37.57890106,2018-09-07 09:08:14.795165
55.71507884,37.57590024,2018-09-07 09:09:18.266773
55.71712499,37.57179036,2018-09-07 09:09:40.587205
55.71857246,37.5674316,2018-09-07 09:10:04.447621
55.71534779,37.56457912,2018-09-07 09:11:53.842411
55.71324038,37.56810591,2018-09-07 09:12:49.456471
55.71375827,37.57250433,2018-09-07 09:19:45.070405
55.71375827,37.57250433,2018-09-07 19:10:57.629310
55.71424882,37.56662443,2018-09-07 19:11:04.473248
55.71669987,37.56859991,2018-09-07 19:11:29.546432
